sLed,rSensor1,rSensor2,rSensor3,rSensor4,timeStamp
3,2502,0,0,0,1661
3,2710,0,0,0,1662
3,2832,0,0,0,1663
3,2832,0,0,0,1664
3,2923,0,0,0,1665
0,2783,0,0,0,1666
0,1949,0,0,0,1667
0,119,0,0,0,1668
0,0,0,0,0,1669
0,0,0,0,0,1670
0,0,0,0,0,1671
0,0,0,0,0,1672
0,0,0,0,0,1673
0,0,0,0,0,1674
0,0,0,0,0,1675
0,0,0,0,0,1676
0,0,0,0,0,1677
0,0,0,0,0,1678
0,0,0,0,0,1679
0,0,0,0,0,1680
0,0,0,0,0,1681
0,0,86,0,0,1682
0,0,1265,0,0,1683
0,0,2138,0,0,1684
0,0,2384,0,0,1685
2,0,2586,0,0,1686
2,0,2650,0,0,1687
2,0,2710,0,0,1688
2,0,2740,0,0,1689
2,0,2795,0,0,1690
2,0,2870,0,0,1691
2,0,2845,0,0,1692
2,0,2624,0,0,1693
2,0,1229,0,0,1694
2,0,0,0,0,1695
2,0,0,0,0,1696
2,0,0,0,0,1697
2,0,0,0,0,1698
2,0,0,0,0,1699
2,0,0,0,0,1700
2,0,0,0,0,1701
2,0,0,0,0,1702
2,0,0,0,0,1703
2,0,0,0,0,1704
2,0,773,0,0,1705
1,0,1605,0,0,1706
1,0,2002,0,0,1707
1,0,2205,0,0,1708
1,0,2369,0,0,1709
1,0,2422,0,0,1710
1,0,2384,0,0,1711
1,0,2559,0,0,1712
1,0,2447,0,0,1713
1,0,2320,0,0,1714
1,0,1337,0,0,1715
1,0,229,0,0,1716
1,0,0,0,0,1717
1,0,0,0,0,1718
1,0,0,0,0,1719
1,0,0,0,0,1720
1,0,0,0,0,1721
1,0,0,0,0,1722
1,0,0,0,0,1723
1,0,0,0,0,1724
1,0,0,0,0,1725
2,0,0,0,0,1726
2,0,0,0,0,1727
2,0,0,0,0,1728
2,0,0,0,0,1729
2,0,0,0,0,1730
2,0,0,0,0,1731
2,0,0,0,0,1732
2,0,0,0,0,1733
2,0,0,0,0,1734
